custom/steps,custom/pnl,train/n_updates,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/ent_coef,time/total_timesteps
20000,12929190.000000002,18999,,4.911779403686523,,,,,0.0003,119.55435943603516,-3.2943215370178223,0.09510724991559982,
,,19159,252.0,1.7565380334854126,3.779275894165039,40,502,80,0.0003,118.3552017211914,-3.5695629119873047,0.09082082659006119,20160
21000,11213200.000000004,19999,,3.0267858505249023,,,,,0.0003,112.32694244384766,-3.43640398979187,0.07156161218881607,
,,20167,252.0,1.2833471298217773,5.31150484085083,40,529,84,0.0003,112.56478881835938,-3.522399663925171,0.06830286234617233,21168
22000,10181419.999999994,20999,,1.5223726034164429,,,,,0.0003,107.69829559326172,-3.46651554107666,0.05441013723611832,
,,21175,252.0,1.649915337562561,7.115703105926514,39,556,88,0.0003,107.02103424072266,-3.5129735469818115,0.05189136415719986,22176
23000,11760440.0,21999,,2.0374696254730225,,,,,0.0003,103.81230163574219,-2.6592581272125244,0.041820090264081955,
,,22183,252.0,1.0560376644134521,9.11296558380127,39,583,92,0.0003,101.91002655029297,-3.4742233753204346,0.03989171236753464,23184
24000,14532990.000000002,22999,,1.0401122570037842,,,,,0.0003,98.8033447265625,-2.6402475833892822,0.03265378624200821,
,,23191,252.0,1.2867655754089355,11.216278076171875,39,610,96,0.0003,97.9227523803711,-3.2495152950286865,0.031210215762257576,24192
25000,12567630.000000002,23999,,1.7251337766647339,,,,,0.0003,93.3004150390625,-2.0086452960968018,0.02591587044298649,
